#node	date	numeric date
NODE_0000000	2019-11-30	2019.913948
NC_045512.2	2019-12-26	2019.984932
England_NORW-227FB9_2021	2021-01-20	2021.053425
NODE_0000002	--	--
England_NORW-22B4C5_2021	--	--
England_NORW-22B2F8_2021	--	--
NODE_0000004	--	--
England_NORW-228B0F_2021	--	--
NODE_0000005	--	--
England_NORW-22BD15_2021	--	--
NODE_0000013	--	--
England_NORW-22BCDC_2021	--	--
England_NORW-22CD6F_2021	--	--
England_NORW-2291DF_2021	--	--
NODE_0000006	--	--
England_NORW-229597_2020	--	--
England_NORW-228352_2021	--	--
NODE_0000008	--	--
England_NORW-22BE4F_2021	--	--
England_NORW-2292CD_2021	--	--
England_NORW-2296C1_2021	--	--
England_NORW-2291A2_2021	--	--
NODE_0000015	--	--
England_NORW-22A253_2021	--	--
England_NORW-2295C4_2021	--	--
England_NORW-22810D_2020	--	--
England_NORW-22BF5B_2021	--	--
England_NORW-228DFA_2021	--	--
NODE_0000016	--	--
England_NORW-2283E9_2020	--	--
England_NORW-22970A_2021	--	--
England_NORW-2284F5_2021	--	--
NODE_0000023	--	--
England_NORW-2297A0_2021	--	--
England_NORW-229AF2_2020	--	--
England_NORW-22B51D_2021	--	--
England_NORW-22B35F_2021	--	--
NODE_0000026	2020-04-11	2020.275997
England_NORW-22BD51_2021	--	--
NODE_0000027	2020-11-09	2020.857566
NODE_0000012	2020-12-03	2020.921137
England_NORW-228871_2021	2021-01-12	2021.031507
NODE_0000029	2020-12-22	2020.974409
England_NORW-22C039_2021	2021-02-03	2021.091781
NODE_0000030	2021-01-20	2021.053425
England_NORW-229719_2021	2021-01-20	2021.053425
England_NORW-22911B_2021	2021-01-22	2021.058904
NODE_0000031	2020-11-16	2020.876697
England_NORW-22BDAC_2021	2021-01-26	2021.069863
NODE_0000103	2021-01-16	2021.041695
England_NORW-22BA0F_2021	2021-01-29	2021.078082
England_NORW-22BC81_2021	2021-01-27	2021.072603
NODE_0000040	2020-11-30	2020.912912
NODE_0000041	2021-01-07	2021.016858
England_NORW-21FC08_2021	2021-02-22	2021.143836
England_NORW-21FB29_2021	2021-02-22	2021.143836
NODE_0000043	2020-12-16	2020.958477
NODE_0000044	2021-01-16	2021.042651
England_NORW-22D34E_2021	2021-02-13	2021.119178
England_NORW-22D2C9_2021	2021-02-10	2021.110959
England_NORW-22D19F_2021	2021-02-13	2021.119178
NODE_0000046	2021-01-13	2021.034061
England_NORW-22D250_2021	2021-02-10	2021.110959
England_NORW-229C0B_2021	2021-02-07	2021.102740
England_NORW-22A97C_2021	2021-02-08	2021.105479
NODE_0000048	2020-12-16	2020.958889
England_NORW-21FC62_2021	2021-02-22	2021.143836
England_NORW-22D36C_2021	2021-02-10	2021.110959
England_NORW-22463F_2021	2021-02-15	2021.124658
NODE_0000052	2021-02-10	2021.110959
England_NORW-22465D_2021	2021-02-15	2021.124658
England_NORW-22D1F9_2021	2021-02-10	2021.110959
England_NORW-22D487_2021	2021-02-20	2021.138356
NODE_0000054	2021-01-05	2021.012328
England_NORW-22466C_2021	2021-02-15	2021.124658
NODE_0000055	2021-02-05	2021.097260
England_NORW-22D302_2021	2021-02-12	2021.116438
England_NORW-227265_2021	2021-02-05	2021.097260
NODE_0000066	2021-02-11	2021.114378
England_NORW-22468A_2021	2021-02-15	2021.124658
NODE_0000068	2021-02-12	2021.116438
England_NORW-224611_2021	2021-02-12	2021.116438
England_NORW-2245F6_2021	2021-02-12	2021.116438
NODE_0000034	2020-11-23	2020.895230
NODE_0000059	2020-12-06	2020.931083
NODE_0000060	2021-01-04	2021.009589
England_NORW-228176_2021	2021-01-04	2021.009589
England_NORW-2294A9_2021	2021-01-04	2021.009589
NODE_0000071	2021-01-20	2021.053187
England_NORW-22CC17_2021	2021-02-02	2021.089041
NODE_0000072	2021-02-02	2021.089041
England_NORW-22C206_2021	2021-02-03	2021.091781
England_NORW-22CD14_2021	2021-02-02	2021.089041
NODE_0000064	2020-12-19	2020.965122
England_NORW-227FE6_2021	2021-01-04	2021.009589
England_NORW-228E15_2021	2021-01-20	2021.053425
NODE_0000067	2021-02-03	2021.091774
England_NORW-22D399_2021	2021-02-10	2021.110959
England_NORW-227247_2021	2021-02-07	2021.102740
NODE_0000069	2021-01-11	2021.029314
England_NORW-22BB0C_2021	2021-01-28	2021.075342
England_NORW-22BB93_2021	2021-01-28	2021.075342
NODE_0000076	2021-01-27	2021.073282
England_NORW-22B52C_2021	2021-01-28	2021.075342
NODE_0000078	2021-01-28	2021.075342
England_NORW-22B8AB_2021	2021-01-28	2021.075342
England_NORW-22B3E6_2021	2021-01-28	2021.075342
NODE_0000073	2020-12-29	2020.991826
England_NORW-22B304_2021	2021-01-08	2021.020548
England_NORW-229B1D_2021	2021-01-04	2021.009589
NODE_0000079	2021-01-21	2021.056164
England_NORW-22CD7E_2021	2021-02-02	2021.089041
England_NORW-228000_2021	2021-01-21	2021.056164
NODE_0000081	2021-01-01	2021.000572
England_NORW-22BE30_2021	2021-01-28	2021.075342
NODE_0000082	2021-01-02	2021.003013
England_NORW-22C145_2021	2021-01-31	2021.083562
NODE_0000084	2021-01-02	2021.005288
England_NORW-229096_2021	2021-01-20	2021.053425
NODE_0000085	2021-01-03	2021.007529
NODE_0000083	2021-01-23	2021.061866
England_NORW-22C1DC_2021	2021-01-31	2021.083562
England_NORW-22BB75_2021	2021-01-29	2021.078082
NODE_0000087	2021-01-04	2021.009589
England_NORW-228747_2021	2021-01-04	2021.009589
NODE_0000088	2021-01-11	2021.029152
England_NORW-22B261_2021	2021-01-28	2021.075342
NODE_0000091	2021-01-12	2021.031507
England_NORW-228F7C_2021	2021-01-12	2021.031507
NODE_0000077	2021-01-28	2021.075342
England_NORW-22BFE2_2021	2021-02-04	2021.094521
England_NORW-22B9E4_2021	2021-01-28	2021.075342
NODE_0000057	2020-11-29	2020.910793
NODE_0000094	2021-01-20	2021.052207
NODE_0000022	2021-01-25	2021.067803
England_NORW-22CC53_2021	2021-02-02	2021.089041
NODE_0000024	2021-01-26	2021.069863
England_NORW-22BDF7_2021	2021-01-26	2021.069863
England_NORW-22B9F3_2021	2021-01-26	2021.069863
NODE_0000097	2021-01-26	2021.069863
England_NORW-22CD41_2021	2021-02-02	2021.089041
England_NORW-22CC62_2021	2021-02-02	2021.089041
England_NORW-22CDC9_2021	2021-02-02	2021.089041
England_NORW-22BD06_2021	2021-01-26	2021.069863
NODE_0000062	2020-11-29	2020.910793
NODE_0000032	2020-12-12	2020.945943
England_NORW-22BAD2_2021	2021-01-16	2021.042466
England_NORW-229A01_2020	2020-12-23	2020.976776
England_NORW-229658_2021	2021-01-21	2021.056164
NODE_0000035	2021-01-02	2021.003281
NODE_0000036	2021-01-16	2021.041467
England_NORW-22CE5D_2021	2021-02-04	2021.094521
England_NORW-22BBB1_2021	2021-01-26	2021.069863
NODE_0000037	2021-01-11	2021.029348
England_NORW-22BD8E_2021	2021-01-26	2021.069863
England_NORW-229139_2021	2021-01-20	2021.053425
NODE_0000028	2020-12-14	2020.951068
England_NORW-22B085_2021	2021-01-09	2021.023288
NODE_0000033	2020-12-14	2020.953324
NODE_0000105	2020-12-27	2020.989035
England_NORW-22898D_2021	2021-01-03	2021.006849
England_NORW-229B86_2020	2020-12-29	2020.993169
NODE_0000038	2020-12-18	2020.962518
England_NORW-22951F_2021	2021-01-13	2021.034247
NODE_0000039	2020-12-20	2020.968677
England_NORW-227F31_2021	2021-01-03	2021.006849
NODE_0000042	2020-12-20	2020.968677
NODE_0000045	2021-01-01	2021.002551
England_NORW-22BE7C_2021	2021-01-23	2021.061644
NODE_0000047	2021-01-02	2021.004730
England_NORW-22756C_2021	2021-02-06	2021.100000
NODE_0000049	2021-01-03	2021.006849
England_NORW-228B78_2021	2021-01-03	2021.006849
England_NORW-22D1BD_2021	2021-02-14	2021.121918
NODE_0000089	2021-01-02	2021.004992
England_NORW-22B3B9_2021	2021-01-26	2021.069863
NODE_0000090	2021-01-09	2021.023521
England_NORW-228307_2021	2021-01-18	2021.047945
NODE_0000053	2021-01-14	2021.038262
NODE_0000093	2021-01-27	2021.072603
England_NORW-22C057_2021	2021-01-29	2021.078082
England_NORW-22B2DA_2021	2021-01-27	2021.072603
NODE_0000056	2021-01-23	2021.061644
England_NORW-22BE9A_2021	2021-01-26	2021.069863
England_NORW-22BD7F_2021	2021-01-23	2021.061644
NODE_0000111	2020-11-23	2020.894914
England_NORW-22D26F_2021	2021-02-09	2021.108219
England_NORW-228FE5_2021	2021-01-05	2021.012329
NODE_0000162	2021-01-13	2021.033616
England_NORW-22BDE8_2021	2021-01-23	2021.061644
NODE_0000096	2021-01-19	2021.051364
NODE_0000098	2021-01-20	2021.053425
England_NORW-22961C_2021	2021-01-20	2021.053425
England_NORW-22899C_2021	2021-01-20	2021.053425
NODE_0000099	2021-01-22	2021.059652
England_NORW-22BE8B_2021	2021-01-23	2021.061644
NODE_0000100	2021-01-23	2021.061644
England_NORW-22C1CD_2021	2021-02-02	2021.089041
England_NORW-22B2CB_2021	2021-01-23	2021.061644
NODE_0000124	2020-12-03	2020.923159
England_NORW-22CD9C_2021	2021-02-01	2021.086301
England_NORW-22D496_2021	2021-02-20	2021.138356
England_NORW-22BBA2_2021	2021-01-16	2021.042466
NODE_0000125	2021-01-08	2021.021283
England_NORW-22C172_2021	2021-01-31	2021.083562
NODE_0000126	2021-01-18	2021.047945
England_NORW-22BDD9_2021	2021-01-23	2021.061644
England_NORW-228DDC_2021	2021-01-18	2021.047945
NODE_0000130	2021-01-29	2021.078664
England_NORW-22A96D_2021	2021-02-06	2021.100000
NODE_0000092	2021-01-31	2021.084837
England_NORW-22D1AE_2021	2021-02-12	2021.116438
NODE_0000131	2021-02-13	2021.119178
England_NORW-22D1CC_2021	2021-02-13	2021.119178
England_NORW-22D3D5_2021	2021-02-14	2021.121918
NODE_0000133	2020-12-02	2020.918674
England_NORW-22464E_2021	2021-02-21	2021.141096
NODE_0000147	2021-02-01	2021.085762
England_NORW-22A772_2021	2021-02-10	2021.110959
England_NORW-22AAD3_2021	2021-02-10	2021.110959
NODE_0000108	2021-02-10	2021.110959
England_NORW-22A45D_2021	2021-02-10	2021.110959
England_NORW-229D08_2021	2021-02-10	2021.110959
NODE_0000150	2020-12-19	2020.966168
NODE_0000151	2021-02-12	2021.116438
England_NORW-22D2E7_2021	2021-02-12	2021.116438
England_NORW-22D539_2021	2021-02-21	2021.141096
NODE_0000152	2021-01-18	2021.047945
England_NORW-22862C_2021	2021-01-18	2021.047945
NODE_0000153	2021-01-23	2021.061644
England_NORW-22BEA9_2021	2021-01-23	2021.061644
NODE_0000113	2021-01-27	2021.072603
England_NORW-22BDBB_2021	2021-01-28	2021.075342
